timestamp,session_id,activity,left_ear,right_ear,average_ear,eye_diff,ear_change,ear_rolling_mean,ear_rolling_std
33.678,screen_003,screen_study,0.25049,0.32895,0.28972,0.07846000000000003,0.0033099999999999796,0.28355,0.002553521378130625
33.712,screen_003,screen_study,0.24757,0.32877,0.28817,0.0812,0.0015499999999999958,0.2841226666666667,0.002562795534641905
33.745,screen_003,screen_study,0.2479,0.33307,0.29049,0.08516999999999997,0.0023200000000000442,0.284752,0.0028922512240221574
33.778,screen_003,screen_study,0.25046,0.32883,0.28964,0.07837,0.0008500000000000174,0.2852153333333333,0.0030883672678218826
33.812,screen_003,screen_study,0.24853,0.32213,0.28533,0.07360000000000003,0.004310000000000036,0.28545533333333334,0.0029342043620199315
33.845,screen_003,screen_study,0.24666,0.32324,0.28495,0.07658000000000004,0.00037999999999999146,0.28568266666666664,0.00273448994112195
33.878,screen_003,screen_study,0.24682,0.31949,0.28315,0.07266999999999998,0.0017999999999999683,0.2858053333333333,0.0025600303197613277
33.912,screen_003,screen_study,0.24661,0.32413,0.28537,0.07751999999999998,0.0022199999999999998,0.2859006666666667,0.002511776453505196
33.945,screen_003,screen_study,0.24803,0.32418,0.28611,0.07615000000000002,0.0007399999999999629,0.28595666666666664,0.0025060688243508447
33.979,screen_003,screen_study,0.24564,0.32178,0.28371,0.07614000000000001,0.0023999999999999577,0.285934,0.002526004185043917
34.011,screen_003,screen_study,0.247,0.3213,0.28415,0.07429999999999998,0.00043999999999999595,0.28603333333333336,0.0024149139785532565
34.046,screen_003,screen_study,0.24903,0.31909,0.28406,0.07005999999999998,9.00000000000345e-05,0.2860833333333333,0.0023616781765359745
34.078,screen_003,screen_study,0.25108,0.3259,0.28849,0.07482,0.004430000000000045,0.2863746666666667,0.0023717018201731073
34.112,screen_003,screen_study,0.25509,0.33213,0.29361,0.07704,0.005119999999999958,0.2868906666666667,0.0030101150112505667
34.145,screen_003,screen_study,0.25109,0.32697,0.28903,0.07588,0.004579999999999973,0.28706533333333334,0.003055897966385043
34.178,screen_003,screen_study,0.24893,0.32961,0.28927,0.08068,0.00024000000000001798,0.28703533333333336,0.003030075120867316
34.213,screen_003,screen_study,0.25244,0.32177,0.2871,0.06933,0.0021700000000000053,0.28696400000000005,0.003014007299261855
34.245,screen_003,screen_study,0.25444,0.32469,0.28956,0.07024999999999998,0.0024599999999999622,0.28690200000000005,0.0029450714277058456
34.278,screen_003,screen_study,0.26003,0.32634,0.29318,0.06631000000000004,0.003620000000000012,0.28713799999999995,0.003300535021564744
34.312,screen_003,screen_study,0.25685,0.32768,0.29227,0.07083,0.0009100000000000219,0.28760066666666667,0.003508836735743032
34.345,screen_003,screen_study,0.25687,0.3272,0.29203,0.07033,0.00023999999999996247,0.2880726666666667,0.003601768348755997
34.378,screen_003,screen_study,0.25649,0.33279,0.29464,0.07629999999999998,0.002610000000000001,0.2888386666666667,0.0037005228716785353
34.412,screen_003,screen_study,0.2557,0.32522,0.29046,0.06952000000000003,0.004180000000000017,0.289178,0.0035914982945849986
34.445,screen_003,screen_study,0.25953,0.32774,0.29364,0.06820999999999999,0.003180000000000016,0.28968,0.0036576807640137632
34.478,screen_003,screen_study,0.25958,0.32847,0.29403,0.06889,0.00039000000000000146,0.290368,0.0034172068794779916
34.512,screen_003,screen_study,0.26003,0.3275,0.29377,0.06747000000000003,0.000260000000000038,0.2910093333333333,0.00304985589043005
34.545,screen_003,screen_study,0.25861,0.32939,0.294,0.07078000000000001,0.00023000000000000798,0.29167200000000004,0.002453665479588702
34.579,screen_003,screen_study,0.25467,0.33084,0.29276,0.07617000000000002,0.0012399999999999634,0.29195666666666664,0.002301082560968291
34.611,screen_003,screen_study,0.25705,0.33228,0.29466,0.07523000000000002,0.0018999999999999573,0.29202666666666666,0.0023699115916828
34.645,screen_003,screen_study,0.25767,0.33434,0.296,0.07667000000000002,0.0013400000000000079,0.2924913333333334,0.002423093850748693
34.678,screen_003,screen_study,0.25761,0.3366,0.2971,0.07899,0.0010999999999999899,0.29301333333333335,0.002520982423771646
34.712,screen_003,screen_study,0.25502,0.33632,0.29567,0.08129999999999998,0.0014299999999999868,0.29358466666666666,0.0020030151082364956
34.745,screen_003,screen_study,0.2565,0.33627,0.29639,0.07977000000000001,0.0007199999999999984,0.29403999999999997,0.0017874762735729684
34.779,screen_003,screen_study,0.2601,0.33797,0.29904,0.07787,0.0026499999999999857,0.2944306666666667,0.0021827586302912063
34.812,screen_003,screen_study,0.25698,0.33867,0.29783,0.08169000000000004,0.0012099999999999889,0.2948013333333333,0.002260344053039571
34.845,screen_003,screen_study,0.25686,0.33045,0.29365,0.07359000000000004,0.0041799999999999615,0.2949093333333333,0.0021547040455305753
34.879,screen_003,screen_study,0.25825,0.33171,0.29498,0.07346000000000003,0.0013299999999999979,0.294932,0.0021534563579814264
34.912,screen_003,screen_study,0.25862,0.33491,0.29677,0.07628999999999997,0.0017899999999999583,0.29535266666666665,0.0018057110458125456
34.945,screen_003,screen_study,0.25869,0.33299,0.29584,0.07430000000000003,0.0009299999999999864,0.2954993333333333,0.0017449906535479459
34.979,screen_003,screen_study,0.26043,0.33118,0.29581,0.07074999999999998,2.999999999997449e-05,0.295618,0.0016978187687282994
35.012,screen_003,screen_study,0.2583,0.32823,0.29327,0.06993000000000005,0.0025400000000000422,0.29558466666666666,0.0017410500389456625
35.046,screen_003,screen_study,0.26075,0.31954,0.29014,0.05879000000000001,0.003129999999999966,0.29532733333333333,0.002213231208204283
35.079,screen_003,screen_study,0.25474,0.32467,0.2897,0.06992999999999999,0.00043999999999999595,0.29512333333333335,0.0025777749726344397
35.112,screen_003,screen_study,0.25291,0.32528,0.2891,0.07236999999999999,0.0005999999999999894,0.29475266666666666,0.0030122831081798394
35.146,screen_003,screen_study,0.25537,0.32463,0.29,0.06925999999999999,0.0008999999999999564,0.29435266666666665,0.0032256327544657216
35.179,screen_003,screen_study,0.25404,0.3236,0.28882,0.06956000000000001,0.0011799999999999589,0.2938006666666667,0.0034242610603659263
35.212,screen_003,screen_study,0.24862,0.32241,0.28552,0.07378999999999997,0.003300000000000025,0.293124,0.003985372898847818
35.245,screen_003,screen_study,0.26546,0.29801,0.28174,0.03255000000000002,0.0037800000000000056,0.29214733333333337,0.004832814126465489
35.279,screen_003,screen_study,0.27135,0.3128,0.29208,0.04145000000000004,0.010340000000000016,0.29168333333333335,0.00444209999673169
35.312,screen_003,screen_study,0.27641,0.31057,0.29349,0.034160000000000024,0.0014099999999999668,0.29139400000000004,0.004144517549039525
35.346,screen_003,screen_study,0.28197,0.31556,0.29877,0.03359000000000001,0.005280000000000007,0.29173533333333335,0.004535940391815862
35.38,screen_003,screen_study,0.28545,0.32127,0.30336,0.03582000000000002,0.0045900000000000385,0.292294,0.005398213725722963
35.412,screen_003,screen_study,0.28156,0.31953,0.30054,0.037970000000000004,0.0028200000000000447,0.2925453333333333,0.0057007792282754285
35.446,screen_003,screen_study,0.27648,0.31023,0.29335,0.03375,0.007189999999999974,0.2923793333333334,0.005633849821350967
35.479,screen_003,screen_study,0.27853,0.31367,0.2961,0.035140000000000005,0.0027499999999999747,0.29239866666666664,0.005646945908652802
35.511,screen_003,screen_study,0.27773,0.31112,0.29443,0.03339000000000003,0.0016699999999999493,0.292476,0.005667635939513918
35.547,screen_003,screen_study,0.27802,0.30454,0.29128,0.026519999999999988,0.0031500000000000417,0.292552,0.005641657811065438
35.579,screen_003,screen_study,0.27882,0.30338,0.2911,0.02455999999999997,0.00017999999999995797,0.29264533333333337,0.005602550269638149
35.613,screen_003,screen_study,0.27915,0.30176,0.29045,0.022609999999999963,0.0006500000000000394,0.2927353333333333,0.005552146131603509
35.645,screen_003,screen_study,0.27854,0.30172,0.29013,0.02317999999999998,0.00031999999999998696,0.292744,0.005547671068631182
35.679,screen_003,screen_study,0.27821,0.30312,0.29066,0.024909999999999988,0.0005299999999999749,0.29286666666666666,0.005474569345968951
35.712,screen_003,screen_study,0.27823,0.29999,0.28911,0.02176,0.0015499999999999958,0.293106,0.005202146260371724
35.767,screen_003,screen_study,0.28081,0.3009,0.29086,0.020089999999999997,0.0017500000000000293,0.293714,0.004218887463370667
35.813,screen_003,screen_study,0.28002,0.30729,0.29365,0.027270000000000016,0.0027900000000000147,0.2938186666666667,0.004194860574334999
35.847,screen_003,screen_study,0.27991,0.3042,0.29206,0.024290000000000034,0.0015900000000000358,0.29372333333333334,0.004219042996881945
35.879,screen_003,screen_study,0.28033,0.30373,0.29203,0.023399999999999976,2.999999999997449e-05,0.293274,0.0039961996232152274
35.912,screen_003,screen_study,0.28044,0.31196,0.2962,0.03151999999999999,0.004170000000000007,0.29279666666666665,0.0030117737219775105
35.945,screen_003,screen_study,0.27878,0.3102,0.29449,0.031420000000000003,0.0017100000000000448,0.29239333333333334,0.0021951071131286375
35.979,screen_003,screen_study,0.27705,0.3123,0.29467,0.035250000000000004,0.00018000000000001348,0.2924813333333333,0.0022616487875238445
36.013,screen_003,screen_study,0.28317,0.3162,0.29969,0.033030000000000004,0.0050200000000000244,0.2927206666666667,0.00279823532827284
36.046,screen_003,screen_study,0.28018,0.31943,0.2998,0.03925000000000001,0.00010999999999999899,0.2930786666666666,0.003326241694395895
36.08,screen_003,screen_study,0.28088,0.31782,0.29935,0.03693999999999997,0.00045000000000000595,0.2936166666666667,0.0036512926608603816
36.112,screen_003,screen_study,0.27442,0.31405,0.29423,0.03963,0.005120000000000013,0.2938253333333333,0.0035860500886226348
36.146,screen_003,screen_study,0.24585,0.28059,0.26322,0.03473999999999999,0.031009999999999982,0.29201000000000005,0.008684545386572658
36.179,screen_003,screen_study,0.15033,0.23336,0.19184,0.08303000000000002,0.07138,0.28545733333333334,0.027310818752874857
36.212,screen_003,screen_study,0.06951,0.13115,0.10033,0.061639999999999986,0.09151000000000001,0.27276866666666666,0.0549495608804325
36.246,screen_003,screen_study,0.05458,0.12545,0.09001,0.07087000000000002,0.010319999999999996,0.25949533333333336,0.07209286163064406
36.279,screen_003,screen_study,0.05378,0.07955,0.06666,0.025769999999999994,0.02335000000000001,0.24454866666666666,0.08685538496889622
36.313,screen_003,screen_study,0.05144,0.15151,0.10148,0.10007,0.034820000000000004,0.23173733333333332,0.09304751439580747
36.346,screen_003,screen_study,0.05102,0.17218,0.1116,0.12115999999999999,0.010120000000000004,0.2197066666666667,0.09630044493790241
36.38,screen_003,screen_study,0.07871,0.19979,0.13925,0.12108,0.027650000000000008,0.20952133333333336,0.09618410737944608
36.413,screen_003,screen_study,0.13805,0.22517,0.18161,0.08712,0.04235999999999998,0.20188199999999998,0.09331582902012997
36.446,screen_003,screen_study,0.15926,0.24859,0.20393,0.08932999999999999,0.022320000000000007,0.1958446666666667,0.08975801873184648
36.479,screen_003,screen_study,0.18873,0.26605,0.22739,0.07732,0.02346000000000001,0.19135933333333333,0.08607219365713999
36.513,screen_003,screen_study,0.19976,0.28129,0.24053,0.08152999999999999,0.013139999999999985,0.18741533333333335,0.08201341761884838
36.546,screen_003,screen_study,0.20659,0.29286,0.24973,0.08627000000000001,0.009200000000000014,0.18407733333333332,0.07803501050047561
36.579,screen_003,screen_study,0.2151,0.28503,0.25007,0.06992999999999999,0.00034000000000000696,0.18079199999999998,0.07375530162057956
36.613,screen_003,screen_study,0.21982,0.29628,0.25805,0.07646,0.007979999999999987,0.17838000000000004,0.07029081214090768
36.647,screen_003,screen_study,0.2187,0.29522,0.25696,0.07651999999999998,0.0010899999999999799,0.17796266666666669,0.0697677545725462
36.679,screen_003,screen_study,0.22384,0.30521,0.26452,0.08136999999999997,0.007559999999999956,0.18280800000000003,0.07323786434820123
36.712,screen_003,screen_study,0.23018,0.3104,0.27029,0.08022000000000001,0.005769999999999997,0.19413866666666665,0.07271161558480331
36.747,screen_003,screen_study,0.22918,0.31531,0.27225,0.08612999999999998,0.0019600000000000173,0.206288,0.0692109679788636
36.78,screen_003,screen_study,0.23325,0.31408,0.27367,0.08083000000000001,0.0014200000000000323,0.22008866666666668,0.05931134122657417
36.812,screen_003,screen_study,0.23722,0.3083,0.27276,0.07108000000000003,0.0009100000000000219,0.23150733333333334,0.050709365923671854
36.846,screen_003,screen_study,0.23746,0.3183,0.27788,0.08084000000000002,0.005120000000000013,0.24259266666666665,0.03957772054842779
36.88,screen_003,screen_study,0.23385,0.32352,0.27868,0.08966999999999997,0.0007999999999999674,0.251888,0.028354999609541163
36.914,screen_003,screen_study,0.23358,0.32111,0.27734,0.08753,0.0013400000000000079,0.25826999999999994,0.021303826282751702
36.947,screen_003,screen_study,0.23712,0.32921,0.28316,0.09209,0.005820000000000047,0.263552,0.016040408437976265
36.98,screen_003,screen_study,0.2383,0.3233,0.2808,0.08499999999999996,0.0023600000000000287,0.26711266666666666,0.013097856676715208
37.014,screen_003,screen_study,0.24263,0.3212,0.28191,0.07856999999999997,0.0011099999999999999,0.26987133333333335,0.011338692206438511
37.046,screen_003,screen_study,0.2455,0.31893,0.28222,0.07343,0.00031000000000003247,0.27203733333333335,0.01026911490598646
37.08,screen_003,screen_study,0.2449,0.31913,0.28202,0.07423000000000002,0.00020000000000003348,0.2741673333333334,0.008558214488903123
37.113,screen_003,screen_study,0.24991,0.31559,0.28275,0.06567999999999999,0.0007300000000000084,0.27581399999999995,0.007552783592820524
37.146,screen_003,screen_study,0.23956,0.32497,0.28227,0.08540999999999999,0.00047999999999998044,0.2775013333333333,0.005619632507895099
37.18,screen_003,screen_study,0.24182,0.33094,0.28638,0.08912,0.0041100000000000025,0.2789586666666667,0.004785261400033541
37.213,screen_003,screen_study,0.24619,0.33108,0.28863,0.08489,0.0022499999999999742,0.28018133333333334,0.004755052751195624
37.247,screen_003,screen_study,0.25006,0.33181,0.29094,0.08174999999999999,0.0023099999999999787,0.28142733333333336,0.004972082729264991
37.28,screen_003,screen_study,0.25342,0.33136,0.29239,0.07794000000000001,0.0014500000000000068,0.28267533333333333,0.005228655750034765
37.314,screen_003,screen_study,0.25253,0.32943,0.29098,0.07690000000000002,0.0014099999999999668,0.28389000000000003,0.004864346968357015
37.346,screen_003,screen_study,0.25047,0.3339,0.29219,0.08342999999999995,0.0012099999999999889,0.284844,0.005002744675246632
37.379,screen_003,screen_study,0.25137,0.32595,0.28866,0.07458000000000004,0.0035299999999999776,0.28550933333333334,0.004783239288937305
37.413,screen_003,screen_study,0.24995,0.33186,0.2909,0.08190999999999998,0.0022399999999999642,0.28641333333333335,0.004394593539902091
37.447,screen_003,screen_study,0.25029,0.3288,0.28954,0.07850999999999997,0.0013599999999999723,0.28683866666666663,0.004365878845689105
