timestamp,session_id,activity,left_ear,right_ear,average_ear
8.88,paper_001,paper_study,0.31442,0.35309,0.33376
8.913,paper_001,paper_study,0.31032,0.36403,0.33718
8.946,paper_001,paper_study,0.33052,0.36331,0.34692
8.98,paper_001,paper_study,0.30974,0.36462,0.33718
9.013,paper_001,paper_study,0.31409,0.36739,0.34074
9.046,paper_001,paper_study,0.31235,0.37157,0.34196
9.08,paper_001,paper_study,0.31735,0.37462,0.34598
9.113,paper_001,paper_study,0.31407,0.36903,0.34155
9.146,paper_001,paper_study,0.29848,0.38113,0.33981
9.179,paper_001,paper_study,0.30948,0.38755,0.34852
9.213,paper_001,paper_study,0.31324,0.38283,0.34803
9.246,paper_001,paper_study,0.30359,0.37855,0.34107
9.28,paper_001,paper_study,0.31042,0.38409,0.34726
9.314,paper_001,paper_study,0.29927,0.3782,0.33874
9.347,paper_001,paper_study,0.24312,0.30613,0.27463
9.379,paper_001,paper_study,0.06158,0.21466,0.13812
9.413,paper_001,paper_study,0.06321,0.10461,0.08391
9.447,paper_001,paper_study,0.06185,0.08225,0.07205
9.48,paper_001,paper_study,0.05885,0.09114,0.075
9.513,paper_001,paper_study,0.06367,0.09562,0.07964
9.547,paper_001,paper_study,0.06429,0.12045,0.09237
9.58,paper_001,paper_study,0.06548,0.13095,0.09822
9.613,paper_001,paper_study,0.05935,0.10743,0.08339
9.647,paper_001,paper_study,0.06539,0.13683,0.10111
9.68,paper_001,paper_study,0.06728,0.12812,0.0977
9.713,paper_001,paper_study,0.06655,0.1186,0.09257
9.746,paper_001,paper_study,0.0656,0.11559,0.09059
9.78,paper_001,paper_study,0.0706,0.12526,0.09793
9.814,paper_001,paper_study,0.07548,0.12112,0.0983
9.847,paper_001,paper_study,0.07608,0.11883,0.09746
9.879,paper_001,paper_study,0.06941,0.11292,0.09117
9.914,paper_001,paper_study,0.06732,0.11796,0.09264
9.947,paper_001,paper_study,0.06327,0.12029,0.09178
9.98,paper_001,paper_study,0.06234,0.12001,0.09117
10.014,paper_001,paper_study,0.06688,0.12479,0.09584
10.046,paper_001,paper_study,0.07102,0.11759,0.09431
10.08,paper_001,paper_study,0.06715,0.11781,0.09248
10.113,paper_001,paper_study,0.06961,0.13578,0.10269
10.147,paper_001,paper_study,0.06996,0.1328,0.10138
10.18,paper_001,paper_study,0.06832,0.14394,0.10613
10.214,paper_001,paper_study,0.06911,0.16988,0.1195
10.247,paper_001,paper_study,0.06834,0.12196,0.09515
10.281,paper_001,paper_study,0.06476,0.12546,0.09511
10.313,paper_001,paper_study,0.06605,0.13116,0.09861
10.347,paper_001,paper_study,0.0646,0.12717,0.09588
10.38,paper_001,paper_study,0.06839,0.12823,0.09831
10.414,paper_001,paper_study,0.06829,0.12544,0.09686
10.448,paper_001,paper_study,0.0681,0.12004,0.09407
10.48,paper_001,paper_study,0.06583,0.12299,0.09441
10.513,paper_001,paper_study,0.06849,0.12006,0.09427
10.547,paper_001,paper_study,0.0715,0.12906,0.10028
10.58,paper_001,paper_study,0.0688,0.12716,0.09798
10.614,paper_001,paper_study,0.06512,0.13179,0.09845
10.647,paper_001,paper_study,0.06711,0.12511,0.09611
10.681,paper_001,paper_study,0.06508,0.13109,0.09808
10.713,paper_001,paper_study,0.06589,0.12318,0.09454
10.748,paper_001,paper_study,0.06848,0.1309,0.09969
10.78,paper_001,paper_study,0.06871,0.13038,0.09955
10.813,paper_001,paper_study,0.06761,0.12947,0.09854
10.848,paper_001,paper_study,0.06516,0.11879,0.09198
10.881,paper_001,paper_study,0.0714,0.12338,0.09739
10.914,paper_001,paper_study,0.07075,0.12372,0.09724
10.948,paper_001,paper_study,0.06431,0.12879,0.09655
10.981,paper_001,paper_study,0.06495,0.13282,0.09888
11.013,paper_001,paper_study,0.06674,0.12859,0.09767
11.047,paper_001,paper_study,0.06372,0.12169,0.0927
11.08,paper_001,paper_study,0.06786,0.11625,0.09206
11.113,paper_001,paper_study,0.06298,0.12606,0.09452
11.148,paper_001,paper_study,0.06348,0.12578,0.09463
11.182,paper_001,paper_study,0.06192,0.12457,0.09325
11.213,paper_001,paper_study,0.06191,0.12352,0.09271
11.248,paper_001,paper_study,0.0636,0.13206,0.09783
11.282,paper_001,paper_study,0.06647,0.13014,0.09831
